IMPACT_CATEGORY_ID,IMPACT_METHOD_ID,IMPACT_CATEGORY_NAME,IMPACT_CATEGORY_NAME_IN_METHOD
6bb67523-e142-4e03-888e-7cc0a588b000,48197fde-fc9e-4563-8eb0-6ea9a5598a5c,human health no LT,
e7ae2e68-f23a-4c0c-b250-32856196bb44,3b556c4d-862e-4fef-b735-ce7bd31a0217,human toxicity: non-carcinogenic,Human toxicity: non-cancer
ba984e27-abeb-4890-a097-c94d3e8ddeba,3b556c4d-862e-4fef-b735-ce7bd31a0217,land use,Land use
0f62c4b0-3e7e-4e03-839e-2a595ea1e5ba,81928238-d7ba-45fc-9f28-af354c2b7dd3,material resources: metals/minerals no LT,
50ba1a43-2d84-4529-bb14-f3e20f9fd6b3,be309eb5-a03c-4546-9608-81b504e08735,particulate matter formation,Fine particulate matter formation
35ec2189-61fe-4338-8cb0-6da7870816fb,b5192a30-6786-4ef8-a955-e2645c3d5420,water use,
43a544aa-b414-4711-9e99-7fea3475e89f,0634f451-e29f-4f37-96c1-803e3f9a5abd,exported energy - heat,
f9d2524d-a0e6-420a-8d36-c0ed28ed7286,2866e7bc-b77a-4e03-bd91-811890e254c0,use of non-renewable secondary fuels,
36c4e853-2c01-410b-ac7d-10302e61f7be,73998dad-83a3-4212-b61d-ec1a50ce5898,"energy resources: renewable, geothermal, solar, wind",
2a3fcc94-fc93-4c37-bda4-52d5c6f3e758,208ef1bf-6c80-401e-b773-54f0960c09d9,"human toxicity: carcinogenic, metals no LT","Human toxicity, cancer_metals"
d3011bcc-358e-4030-b46c-4a3f605ec535,f1d1c1a0-8ecf-441c-8576-a18d463df41b,"human toxicity: carcinogenic, inorganics","Human toxicity, cancer_inorganics"
a3922e4e-1d0c-4495-812f-96e1587b6cea,f1d1c1a0-8ecf-441c-8576-a18d463df41b,particulate matter formation,EF-particulate Matter
611d5f32-1467-42a5-bdea-6151d5772a79,78594638-6ea2-4bd2-b8ca-371494d952a7,climate change: fossil no LT,Climate change-Fossil
31781cbf-780b-4842-94ec-b4f367c2f3ab,78594638-6ea2-4bd2-b8ca-371494d952a7,ionising radiation: human health no LT,"Ionising radiation, human health"
