PCR,DATABASE_VERSION,COMPANY_CODE,ITEM_CODE,ITEM_NAME,UNIT_PROCESS_ID,CONVERSION_FACTOR
BASIC,ecoinvent-v3.11,BR,62050,浓硫酸,fda0d098-5fff-4637-afc7-c22f0548bab3,1.0000000000
BASIC,ecoinvent-v3.11,ZG,FEMN-M,,76f8ffde-93a6-4a4e-bcb2-218ccccca537,1.0000000000
BASIC,ecoinvent-v3.11,BR,63230,电工钢机组涂料,1c846a87-59ef-41ab-9e88-c0b305c32ec0,1.0000000000
BASIC,ecoinvent-v3.11,BR,18170,回收废品废钢-5Ni废钢,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,ZG,LWGLL,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,TM,900-249-08-5,废矿物油(含水废油）,3b7ef680-014a-4c69-924f-041c2e0b7dc8,1.0000000000
BASIC,ecoinvent-v3.11,TA,04-02-TL-SJ,干法脱硫灰（烧结）,1a371afe-e838-4001-8b21-dbe651e9e1e4,1.0000000000
BASIC,ecoinvent-v3.11,WG,2329,,4fa9e60e-112e-43c7-9e6d-65c83d3b1186,1.0000000000
BASIC,ecoinvent-v3.11,TM,10386,粉矿-非洲塞拉利昂,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,TA,10310,粉矿-杨迪矿,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,RG,10323,粉矿-混合粉,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,BR,40600,,f8cdd5d5-45a3-4d58-b3fa-cbff2da2ae9e,1.0000000000
BASIC,ecoinvent-v3.11,BR,10790,杂料-高炉废脱硫剂,eb515954-d116-4683-8946-b7ad26c54842,1.0000000000
BASIC,ecoinvent-v3.11,TA,GS400,无缝管-外购HFW接箍,92afbc0a-9b00-40fa-861d-0828382df740,1.0000000000
BASIC,ecoinvent-v3.11,RG,1109,,a5908466-a88c-4608-a841-e6fd1bb1812b,1.0000000000
BASIC,ecoinvent-v3.11,BR,M0810,热镀锌后钢卷-委外-1800,efcc5268-d1ab-473c-b25f-3b93bcf69a3d,1.0000000000
BASIC,ecoinvent-v3.11,BR,12506,低碳低铝硅铁,4fa9e60e-112e-43c7-9e6d-65c83d3b1186,1.0000000000
BASIC,ecoinvent-v3.11,TM,12533,硼铁,4fa9e60e-112e-43c7-9e6d-65c83d3b1186,1.0000000000
BASIC,ecoinvent-v3.11,TA,48090,回收焦油粗苯,275b1719-8f40-4a80-9813-95cd4e4218a6,1.0000000000
BASIC,ecoinvent-v3.11,WG,LJGWQ,,4fa9e60e-112e-43c7-9e6d-65c83d3b1186,1.0000000000
BASIC,ecoinvent-v3.11,ZG,10305,主原料粉矿-FMG国王烧结粉,b56ced41-d8e0-4d00-9a3e-336bab6d1ad9,1.0000000000
BASIC,ecoinvent-v3.11,BR,10691,杂料-烧结粉,b56ced41-d8e0-4d00-9a3e-336bab6d1ad9,1.0000000000
BASIC,ecoinvent-v3.11,BR,18071,副产品-水渣,df5d38fb-d131-4651-9457-4fddfaf89964,1.0000000000
BASIC,ecoinvent-v3.11,WG,62040,脱脂剂,62ec168d-448b-4b75-a9bb-5193374e82b0,1.0000000000
BASIC,ecoinvent-v3.11,ZG,SYAL50,,ba920da8-7d7d-441d-b0f4-aea602f6cc0d,1.0000000000
BASIC,ecoinvent-v3.11,BR,12313,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,TM,103A7,粉矿-巴西BRBF混合粉矿,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,BR,62170,,92599c7f-0c81-4da0-8d32-60200446dc41,1.0000000000
BASIC,ecoinvent-v3.11,WG,60105,萤石,a5908466-a88c-4608-a841-e6fd1bb1812b,1.0000000000
BASIC,ecoinvent-v3.11,TM,12549,铝镁合金,7924ebf6-c3e9-4cfa-aca8-3630295edac8,1.0000000000
BASIC,ecoinvent-v3.11,TM,0323,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,ZG,18079,回收酚氢污泥,15289673-3d4b-479a-a02d-7838f5b7894d,1.0000000000
BASIC,ecoinvent-v3.11,TM,60170,外购白云石细粒,76e92d8e-4cf5-4792-931e-1e6ae337539c,1.0000000000
BASIC,ecoinvent-v3.11,ZG,18067,回收球团链篦机散料,c935c14c-c5de-4816-9214-9ca4689232da,1.0000000000
BASIC,ecoinvent-v3.11,WG,LWGPG,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,WG,63100,盐酸,f84ca190-7be7-4042-8fe6-18ec37552075,1.0000000000
BASIC,ecoinvent-v3.11,TA,62200,彩板处理液,62ec168d-448b-4b75-a9bb-5193374e82b0,1.0000000000
BASIC,ecoinvent-v3.11,TM,62220,抑制剂,0885134d-ddf8-4d21-9ded-5072e5a7f421,1.0000000000
BASIC,ecoinvent-v3.11,RG,2123,,4fa9e60e-112e-43c7-9e6d-65c83d3b1186,1.0000000000
BASIC,ecoinvent-v3.11,TM,10521,主原料精块矿-Robe River W.A块矿,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,TA,12591,碳线,f8cdd5d5-45a3-4d58-b3fa-cbff2da2ae9e,1.0000000000
BASIC,ecoinvent-v3.11,ZG,C-GR98,,f8cdd5d5-45a3-4d58-b3fa-cbff2da2ae9e,1.0000000000
BASIC,ecoinvent-v3.11,BR,18010,回收钢渣尾渣,f80be057-02a3-4751-a6f2-781a4c8b3daa,1.0000000000
BASIC,ecoinvent-v3.11,RG,12501,低磷低碳锰硅合金,76f8ffde-93a6-4a4e-bcb2-218ccccca537,1.0000000000
BASIC,ecoinvent-v3.11,RG,12319,船板料压块,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,TM,12335,打包压块二级,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,TA,GZ219,无缝管-其他-供精密,92afbc0a-9b00-40fa-861d-0828382df740,1.0000000000
BASIC,ecoinvent-v3.11,RG,1210,,f1fe8c69-1c6e-49e5-b8fc-dca8746b5f8c,1.0000000000
BASIC,ecoinvent-v3.11,WG,MSF-N,,b56ced41-d8e0-4d00-9a3e-336bab6d1ad9,1.0000000000
BASIC,ecoinvent-v3.11,ZG,50620,氩气-外购,05cfad87-7dd0-4fbf-9f64-8faf2d00dab3,1.0000000000
BASIC,ecoinvent-v3.11,BR,64200,热轧平整辊,efcc5268-d1ab-473c-b25f-3b93bcf69a3d,1.0000000000
BASIC,ecoinvent-v3.11,ZG,FEMO60,,4fa9e60e-112e-43c7-9e6d-65c83d3b1186,1.0000000000
BASIC,ecoinvent-v3.11,BR,62100,AC液,d3b4a406-20e8-4492-810d-6285e13f6e6f,1.0000000000
BASIC,ecoinvent-v3.11,WG,10372,主原料粉矿-巴西南部托克1#粉矿,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,TM,10782,,15289673-3d4b-479a-a02d-7838f5b7894d,1.0000000000
BASIC,ecoinvent-v3.11,BR,A3410,小方坯-外购-宝特,aaa79245-d1f0-4780-bc99-0315a7713671,1.0000000000
BASIC,ecoinvent-v3.11,ZG,900-404-06,有机废液,50b3f4a7-7b80-40cc-8290-92d235beb7c3,1.0000000000
BASIC,ecoinvent-v3.11,TA,900-349-34,实验室废液,1753acdb-9c5c-4563-9bba-4b3b7b297061,1.0000000000
BASIC,ecoinvent-v3.11,RG,60101,石墨增碳剂,600e12af-239f-4b71-9ad4-9013fe7dbf30,1.0000000000
BASIC,ecoinvent-v3.11,TA,10304,粉矿-罗布河,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,TA,10502,精块矿-海南岛块矿,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,BR,60118,焊丝类,5460cc59-15a2-4fe0-9765-7a263316cfdb,1.0000000000
BASIC,ecoinvent-v3.11,ZG,FLAL45,,ba920da8-7d7d-441d-b0f4-aea602f6cc0d,1.0000000000
BASIC,ecoinvent-v3.11,TA,A3410,小方坯-外购-宝特,aaa79245-d1f0-4780-bc99-0315a7713671,1.0000000000
BASIC,ecoinvent-v3.11,BR,12339,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,WG,FG01,内部废钢,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,WG,LJGQJ,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,WG,LJGXB,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,ZG,25200,硫铵,6e040483-e974-4221-9187-2a19c15b880f,1.0000000000
BASIC,ecoinvent-v3.11,BR,12565,锑锭,6a07e73a-0d9b-462f-8914-634a378b547f,1.0000000000
BASIC,ecoinvent-v3.11,WG,2222,,76f8ffde-93a6-4a4e-bcb2-218ccccca537,1.0000000000
BASIC,ecoinvent-v3.11,RG,2231,,7924ebf6-c3e9-4cfa-aca8-3630295edac8,1.0000000000
BASIC,ecoinvent-v3.11,RG,12517,低氮高钛铁,4fa9e60e-112e-43c7-9e6d-65c83d3b1186,1.0000000000
BASIC,ecoinvent-v3.11,TA,12534,低硼硼铁,4fa9e60e-112e-43c7-9e6d-65c83d3b1186,1.0000000000
BASIC,ecoinvent-v3.11,BR,60160,外购轻烧白云石,4099b319-64b7-427d-986b-1315fb202e93,1.0000000000
BASIC,ecoinvent-v3.11,RG,1127,,f1fe8c69-1c6e-49e5-b8fc-dca8746b5f8c,1.0000000000
BASIC,ecoinvent-v3.11,ZG,FBLMGO,,76e92d8e-4cf5-4792-931e-1e6ae337539c,1.0000000000
BASIC,ecoinvent-v3.11,ZG,10107,筛下粉-海南块矿筛下粉,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,TA,10601,杂矿-杂矿粉,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,TM,900-039-49,废活性炭,b5cfdceb-4076-4d34-adfc-d7e6c4a57948,1.0000000000
BASIC,ecoinvent-v3.11,RG,2136,,cb217ef3-8ef3-4a7c-a8d8-c34cb664fbb1,1.0000000000
BASIC,ecoinvent-v3.11,TM,62200,彩板处理液,7f9034df-496f-40dd-9b85-50db7a5d4f31,1.0000000000
BASIC,ecoinvent-v3.11,WG,2246,,7924ebf6-c3e9-4cfa-aca8-3630295edac8,1.0000000000
BASIC,ecoinvent-v3.11,TM,123B6,外购家电小压块,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,BR,FG05,其他废钢,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,BR,12308,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,ZG,68670,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,TA,10514,主原料精块矿-南非库博低品位,71939b3f-b933-4b63-8687-33d2fdf85def,1.0000000000
BASIC,ecoinvent-v3.11,ZG,14814,锌铝镁渣回收,ef5e9408-8dcd-4d9d-8015-5e0ce504a229,1.0000000000
BASIC,ecoinvent-v3.11,ZG,12536,铌锰芯,074c04a2-dce0-43a7-a046-c17533fd4e90,1.0000000000
BASIC,ecoinvent-v3.11,WG,LCNST,,dda9f8e7-db2d-4676-8ded-4ddce83a555d,1.0000000000
BASIC,ecoinvent-v3.11,TA,58285,回收烧结蒸汽,7942eb9b-02c0-426e-80d3-ca3f2e30e0fa,1.0000000000
BASIC,ecoinvent-v3.11,TM,64300,工作辊,efcc5268-d1ab-473c-b25f-3b93bcf69a3d,1.0000000000
BASIC,ecoinvent-v3.11,TM,0303,,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
BASIC,ecoinvent-v3.11,RG,12351,非生产性废钢,7a35767d-eb4c-4b26-896a-d6277183b4e9,1.0000000000
